model_key,model_class,model_params,imputer,scaler,pca,pca_params,resampling,resampling_params,val_strategy,val_params,threshold,roc_auc__mean,roc_auc__std,roc_auc__median,pr_auc__mean,pr_auc__std,pr_auc__median,brier__mean,brier__std,brier__median,mcc__mean,mcc__std,mcc__median,balanced_accuracy__mean,balanced_accuracy__std,balanced_accuracy__median,f1__mean,f1__std,f1__median
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},loo,{},0.5,,,,,,,0.14964696584061782,0.23021759152717908,0.032036675792938715,,,,0.8,0.4012558900604154,1.0,0.125,0.33175728037491653,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},smote,"{""k_neighbors"": 3, ""sampling_strategy"": 0.75}",loo,{},0.5,,,,,,,0.16402109509384383,0.24159954186975835,0.04707025676629269,,,,0.75625,0.43069163332814797,1.0,0.2,0.40125589006041545,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},smote,"{""k_neighbors"": 3, ""sampling_strategy"": 1.0}",loo,{},0.5,,,,,,,0.17444340361869323,0.2531087720723617,0.04515241888025809,,,,0.73125,0.44470151108610395,1.0,0.20625,0.40588245347358376,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},smote,"{""k_neighbors"": 5, ""sampling_strategy"": 0.75}",loo,{},0.5,,,,,,,0.15798975989314748,0.23818219944583993,0.051155810979052516,,,,0.775,0.41889342094762905,1.0,0.2,0.4012558900604154,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},smote,"{""k_neighbors"": 5, ""sampling_strategy"": 1.0}",loo,{},0.5,,,,,,,0.17122587995365174,0.2516776103222461,0.043479783803067114,,,,0.7375,0.44137435443704354,1.0,0.20625,0.4058824534735836,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},smoteenn,"{""sampling_strategy"": 0.75, ""smote_k_neighbors"": 3}",loo,{},0.5,,,,,,,0.23763227163550113,0.3911794850513519,7.702719381170766e-05,,,,0.725,0.44791620959461836,1.0,0.21875,0.41469660046864565,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},smoteenn,"{""sampling_strategy"": 0.75, ""smote_k_neighbors"": 5}",loo,{},0.5,,,,,,,0.22910726442751317,0.39001525359006706,7.253054717202447e-05,,,,0.74375,0.43793217647824034,1.0,0.2125,0.4103610927160303,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},smoteenn,"{""sampling_strategy"": 1.0, ""smote_k_neighbors"": 3}",loo,{},0.5,,,,,,,0.24067527579979311,0.3959388017771103,9.630992281800898e-05,,,,0.7375,0.44137435443704354,1.0,0.23125,0.4229556825885688,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},smoteenn,"{""sampling_strategy"": 1.0, ""smote_k_neighbors"": 5}",loo,{},0.5,,,,,,,0.25326446741144826,0.40565833159422504,6.936114873115526e-05,,,,0.725,0.4479162095946183,1.0,0.21875,0.41469660046864565,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},undersample,"{""replacement"": false, ""sampling_strategy"": 0.75}",loo,{},0.5,,,,,,,0.16721217214994663,0.23097550586551943,0.06113754321629863,,,,0.7375,0.4413743544370436,1.0,0.18125,0.38643467883497373,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},undersample,"{""replacement"": false, ""sampling_strategy"": 1.0}",loo,{},0.5,,,,,,,0.19441788841582103,0.26051683209355814,0.06402210152953657,,,,0.7,0.4596963723121831,1.0,0.2,0.40125589006041534,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,standard,off,{},none,{},loo,{},0.5,,,,,,,0.15295003241938881,0.17664992297318866,0.08077716193454157,,,,0.8,0.40125589006041545,1.0,0.13125,0.3387337686705237,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,standard,off,{},smote,"{""k_neighbors"": 3, ""sampling_strategy"": 0.75}",loo,{},0.5,,,,,,,0.16346783853134056,0.19784778358357388,0.09474504661074726,,,,0.7625,0.4268872267970965,1.0,0.20625,0.40588245347358376,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,standard,off,{},smote,"{""k_neighbors"": 3, ""sampling_strategy"": 1.0}",loo,{},0.5,,,,,,,0.1714783391437374,0.21173840126232404,0.08778396059287466,,,,0.7625,0.4268872267970965,1.0,0.225,0.4188934209476289,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,standard,off,{},smote,"{""k_neighbors"": 5, ""sampling_strategy"": 0.75}",loo,{},0.5,,,,,,,0.1625389582161121,0.19855820314775757,0.08893852956764625,,,,0.775,0.4188934209476291,1.0,0.20625,0.4058824534735836,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,standard,off,{},smote,"{""k_neighbors"": 5, ""sampling_strategy"": 1.0}",loo,{},0.5,,,,,,,0.17267581874797733,0.21428760924968382,0.08747807819148051,,,,0.75,0.4343722427630693,1.0,0.2125,0.4103610927160301,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,standard,off,{},smoteenn,"{""sampling_strategy"": 1.0, ""smote_k_neighbors"": 3}",loo,{},0.5,,,,,,,0.20003198487868185,0.2562343114991026,0.07776697403017338,,,,0.7125,0.454017703918799,1.0,0.2375,0.42688722679709645,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,standard,off,{},smoteenn,"{""sampling_strategy"": 1.0, ""smote_k_neighbors"": 5}",loo,{},0.5,,,,,,,0.20037305435801084,0.2567399245365126,0.07437250156214066,,,,0.70625,0.4569088785200396,1.0,0.23125,0.42295568258856886,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,standard,off,{},undersample,"{""replacement"": false, ""sampling_strategy"": 0.75}",loo,{},0.5,,,,,,,0.173804601876214,0.17339720496022787,0.12385680629374891,,,,0.775,0.41889342094762905,1.0,0.2125,0.4103610927160304,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,standard,off,{},undersample,"{""replacement"": false, ""sampling_strategy"": 1.0}",loo,{},0.5,,,,,,,0.1908104399450497,0.18432729445907292,0.13180681269566033,,,,0.7375,0.4413743544370436,1.0,0.225,0.4188934209476289,0.0
